tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_2629,Salt GE_7535A,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2498575,1118291,46.208428,6.124413,BAKOM/geo.admin.ch (22.02.26)
TOWER_2630,Swisscom GTEV,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2501666,1117324,46.200189,6.164661,BAKOM/geo.admin.ch (22.02.26)
TOWER_2631,Swisscom GSP1,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2498661,1115844,46.186432,6.126058,BAKOM/geo.admin.ch (22.02.26)
TOWER_2632,Salt GE_0068C,"Technology 3G,4G",True,True,False,low,Outdoor > 6 Werp,False,2498395,1119768,46.221685,6.12176,BAKOM/geo.admin.ch (22.02.26)
TOWER_2633,Salt VD_5010A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2505528,1137627,46.383357,6.210571,BAKOM/geo.admin.ch (22.02.26)
TOWER_2634,Swisscom GEPA,"Technology 3G,4G,5G",True,True,True,low,Outdoor > 6 Werp,False,2498227,1121064,46.233316,6.119301,BAKOM/geo.admin.ch (22.02.26)
TOWER_2635,Salt VD_0521C,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2517575,1147288,46.471843,6.365434,BAKOM/geo.admin.ch (22.02.26)
TOWER_2636,Swisscom GTGC,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2503858,1116775,46.195567,6.193168,BAKOM/geo.admin.ch (22.02.26)
TOWER_2637,Salt VD_7089D,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2538236,1152515,46.521083,6.633728,BAKOM/geo.admin.ch (22.02.26)
TOWER_2638,Salt GE_0038A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2501413,1117586,46.202508,6.161329,BAKOM/geo.admin.ch (22.02.26)
TOWER_2639,Swisscom MOLO,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2549959,1151186,46.510108,6.786638,BAKOM/geo.admin.ch (22.02.26)
TOWER_2640,Sunrise GE510-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2494766,1117419,46.2,6.075264,BAKOM/geo.admin.ch (22.02.26)
TOWER_2641,Salt VD_2113A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2539600,1151266,46.509973,6.651665,BAKOM/geo.admin.ch (22.02.26)
TOWER_2642,Sunrise VD518-2,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2506424,1136270,46.371277,6.22249,BAKOM/geo.admin.ch (22.02.26)
TOWER_2643,Swisscom LAIS,Technology 5G,False,False,True,low,Outdoor > 6 Werp,False,2538048,1152970,46.525159,6.631217,BAKOM/geo.admin.ch (22.02.26)
TOWER_2644,Sunrise GE077-1,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2500525,1116718,46.194571,6.15001,BAKOM/geo.admin.ch (22.02.26)
TOWER_2645,Salt VD_7908A,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2535647,1153203,46.527028,6.599894,BAKOM/geo.admin.ch (22.02.26)
TOWER_2646,Salt VD_7469A,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2534272,1154479,46.538372,6.581793,BAKOM/geo.admin.ch (22.02.26)
TOWER_2647,Salt GE_2258A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2499735,1115560,46.184038,6.140027,BAKOM/geo.admin.ch (22.02.26)
TOWER_2648,Sunrise VD256-1,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2538180,1152866,46.524236,6.632951,BAKOM/geo.admin.ch (22.02.26)
