station_name,station_id,lat_wgs84,lon_wgs84,E_lv95,N_lv95,first_train_wd,last_train_wd,service_window_wd,first_train_we,last_train_we,service_window_we,connectivity,mobility,freq_early_morning,ic_early_morning,ws_open_early_morning,transit_early_morning,workspace_early_morning,twci_early_morning,freq_am_peak,ic_am_peak,ws_open_am_peak,transit_am_peak,workspace_am_peak,twci_am_peak,freq_midday,ic_midday,ws_open_midday,transit_midday,workspace_midday,twci_midday,freq_pm_peak,ic_pm_peak,ws_open_pm_peak,transit_pm_peak,workspace_pm_peak,twci_pm_peak,freq_evening,ic_evening,ws_open_evening,transit_evening,workspace_evening,twci_evening,freq_late_night,ic_late_night,ws_open_late_night,transit_late_night,workspace_late_night,twci_late_night,freq_weekend_mid,ic_weekend_mid,ws_open_weekend_mid,transit_weekend_mid,workspace_weekend_mid,twci_weekend_mid
Grandvaux,8504011,46.496948,6.722641,2547766.3,1149531.1,04:59,15:23,10.4,04:59,14:00,9.0,0.0,0.0033,3.5,0,0,0.0417,0.0,0.0132,4.5,0,0,0.0536,0.0,0.0167,4.0,0,0,0.0476,0.0,0.0149,5.0,0,0,0.0595,0.0,0.0185,4.0,0,0,0.0476,0.0,0.0149,4.0,0,0,0.0476,0.0,0.0149,4.0,0,0,0.0476,0.0,0.0149
St-Prex,8501036,46.482324,6.455897,2528306.5,1147905.9,05:07,15:21,10.2,05:07,14:21,9.2,0.0,0.02,4.0,0,0,0.0476,0.0,0.0183,4.0,0,0,0.0476,0.0,0.0183,4.0,0,0,0.0476,0.0,0.0183,4.0,0,0,0.0476,0.0,0.0183,4.0,0,0,0.0476,0.0,0.0183,4.0,0,0,0.0476,0.0,0.0183,4.0,0,0,0.0476,0.0,0.0183
Lonay-Préverenges,8501048,46.523141,6.519527,2532948.5,1152441.9,05:07,15:14,10.1,05:07,14:14,9.1,0.0,0.05,4.0,0,1,0.0476,0.0909,0.0516,4.0,0,1,0.0476,0.0909,0.0516,4.0,0,1,0.0476,0.0909,0.0516,4.0,0,1,0.0476,0.0909,0.0516,4.0,0,1,0.0476,0.0909,0.0516,4.0,0,1,0.0476,0.0909,0.0516,4.0,0,0,0.0476,0.0,0.0243
Lausanne-Flon,8501181,46.520798,6.63033,2541031.9,1152181.6,05:40,17:10,11.5,05:55,22:55,17.0,0.64,0.6167,3.0,0,2,0.0357,0.1818,0.3166,4.0,0,5,0.0476,0.4545,0.402,4.0,0,7,0.0476,0.6364,0.4565,4.0,0,6,0.0476,0.5455,0.4293,4.0,0,3,0.0476,0.2727,0.3474,2.0,0,3,0.0238,0.2727,0.3403,4.0,0,3,0.0476,0.2727,0.3474
La Conversion,8504010,46.513087,6.678307,2544532.0,1151324.6,04:54,15:26,10.5,04:54,14:05,9.2,0.0,0.14,4.0,0,0,0.0476,0.0,0.0423,4.0,0,1,0.0476,0.0909,0.0696,4.0,0,1,0.0476,0.0909,0.0696,5.0,0,0,0.0595,0.0,0.0459,4.0,0,0,0.0476,0.0,0.0423,4.0,0,0,0.0476,0.0,0.0423,4.0,0,1,0.0476,0.0909,0.0696
La Tour-de-Peilz,8501201,46.455457,6.859523,2557752.3,1144920.1,05:11,15:21,10.2,05:11,14:19,9.1,1.0,0.07,4.0,0,1,0.0476,0.0909,0.2556,4.0,0,1,0.0476,0.0909,0.2556,4.0,0,1,0.0476,0.0909,0.2556,4.0,0,1,0.0476,0.0909,0.2556,4.0,0,1,0.0476,0.0909,0.2556,4.0,0,1,0.0476,0.0909,0.2556,4.0,0,0,0.0476,0.0,0.2283
Burier,8501202,46.447889,6.877108,2559035.1,1144079.0,05:09,15:23,10.2,05:09,14:21,9.2,0.0,0.0167,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176
Clarens,8501203,46.442736,6.895771,2560396.7,1143506.4,05:07,15:25,10.3,05:07,14:24,9.3,0.0,0.03,4.0,0,0,0.0476,0.0,0.0203,4.0,0,0,0.0476,0.0,0.0203,4.0,0,0,0.0476,0.0,0.0203,4.0,0,0,0.0476,0.0,0.0203,4.0,0,0,0.0476,0.0,0.0203,4.0,0,0,0.0476,0.0,0.0203,4.0,0,0,0.0476,0.0,0.0203
"Founex, est",8588666,46.334766,6.19494,2509268.9,1131507.5,05:17,16:56,11.7,05:35,22:58,17.4,0.0,0.01,4.0,0,0,0.0476,0.0,0.0163,3.5,0,0,0.0417,0.0,0.0145,4.0,0,0,0.0476,0.0,0.0163,4.5,0,0,0.0536,0.0,0.0181,2.5,0,0,0.0298,0.0,0.0109,2.5,0,0,0.0298,0.0,0.0109,2.0,0,0,0.0238,0.0,0.0091
Rivaz,8501126,46.474211,6.784583,2552285.2,1147004.3,05:06,18:08,13.0,05:06,22:50,17.7,0.0,0.0033,3.0,0,0,0.0357,0.0,0.0114,3.5,0,0,0.0417,0.0,0.0132,3.0,0,0,0.0357,0.0,0.0114,3.0,0,0,0.0357,0.0,0.0114,3.0,0,0,0.0357,0.0,0.0114,3.0,0,0,0.0357,0.0,0.0114,2.0,0,0,0.0238,0.0,0.0078
"Perroy, Couronnette",8570039,46.463879,6.352911,2520793.4,1145856.0,05:39,22:43,17.1,06:39,22:43,16.1,0.0,0.0,1.5,0,0,0.0179,0.0,0.0054,3.0,0,0,0.0357,0.0,0.0107,1.5,0,0,0.0179,0.0,0.0054,2.0,0,0,0.0238,0.0,0.0071,2.0,0,0,0.0238,0.0,0.0071,2.0,0,0,0.0238,0.0,0.0071,1.5,0,0,0.0179,0.0,0.0054
Epesses,8501125,46.489333,6.745157,2549408.9,1148684.8,05:10,18:46,13.6,05:10,22:46,17.6,0.2,0.0,3.0,0,0,0.0357,0.0,0.0507,3.0,0,0,0.0357,0.0,0.0507,3.0,0,0,0.0357,0.0,0.0507,3.0,0,0,0.0357,0.0,0.0507,3.0,0,0,0.0357,0.0,0.0507,3.0,0,0,0.0357,0.0,0.0507,2.0,0,0,0.0238,0.0,0.0471
Denges-Echandens,8501045,46.529129,6.54049,2534477.8,1153107.4,05:16,22:42,17.4,05:16,22:42,17.4,0.0,0.0833,2.0,0,0,0.0238,0.0,0.0238,2.0,0,0,0.0238,0.0,0.0238,2.0,0,0,0.0238,0.0,0.0238,2.0,0,0,0.0238,0.0,0.0238,2.0,0,0,0.0238,0.0,0.0238,2.0,0,0,0.0238,0.0,0.0238,2.0,0,0,0.0238,0.0,0.0238
Bossière,8504003,46.509753,6.699305,2546063.9,1150954.1,04:56,22:56,18.0,04:56,22:51,17.9,0.2,0.0133,2.0,0,0,0.0238,0.0,0.0498,2.0,0,0,0.0238,0.0,0.0498,2.0,0,0,0.0238,0.0,0.0498,3.0,0,0,0.0357,0.0,0.0534,2.0,0,0,0.0238,0.0,0.0498,2.0,0,0,0.0238,0.0,0.0498,2.0,0,1,0.0238,0.0909,0.0771
Territet,8501301,46.426381,6.922695,2562360.8,1141688.8,05:01,22:54,17.9,05:01,22:54,17.9,0.0,0.01,2.0,0,0,0.0238,0.0,0.0091,2.0,0,0,0.0238,0.0,0.0091,2.0,0,0,0.0238,0.0,0.0091,2.0,0,0,0.0238,0.0,0.0091,2.0,0,0,0.0238,0.0,0.0091,2.0,0,0,0.0238,0.0,0.0091,2.0,0,0,0.0238,0.0,0.0091
"St-Saphorin (Lavaux), gare",8510135,46.472696,6.79809,2553270.5,1146835.9,,,0,,,0,0.0,0.0033,0.0,0,0,0.0,0.0,0.0007,0.0,0,0,0.0,0.0,0.0007,0.0,0,0,0.0,0.0,0.0007,0.0,0,0,0.0,0.0,0.0007,0.0,0,0,0.0,0.0,0.0007,0.0,0,0,0.0,0.0,0.0007,0.0,0,0,0.0,0.0,0.0007
