stop_name,lat_wgs84,lon_wgs84,station_id,gtfs_stop_ids
Fontanivent,46.45273,6.90233,,8501374
Planchamp,46.45118,6.901,,8501383
Châtelard VD,46.44678,6.90114,,8501382
Belmont-sur-Montreux,46.44204,6.90612,,8501390
Vuarennes,46.43912,6.91097,,8501381
Montreux-Collège,46.4361,6.91271,,8501380
Les Plantaz,46.390867,6.229342,,8501059:1
La Vuarpillière,46.3991,6.217042,,8501053:1
L'Asse,46.401774,6.211844,,8501069:1
Trélex dépôt,46.406611,6.208841,,8510670:1
Trélex,46.41372,6.20642,,8501068
Givrins,46.42885,6.20522,,8501067
Genolier,46.43625,6.21457,,8501066:2
Genolier Sus-Châtel,46.43849,6.20586,,8501056:1
Genolier clinique/campus,46.446349,6.21676,,8501058:1
Le Muids,46.4543,6.21543,,8501065
Bassins,46.46057,6.22231,,8501064:1
Arzier,46.45864,6.21165,,8501063
La Chèvrerie-Monterêt,46.44848,6.18351,,8501057:1
St-Cergue,46.44861,6.16036,,8501062
La Cure,46.46515,6.07357,,8501060:1
La Givrine,46.4546,6.11144,,8501061:1
Les Pralies,46.45118,6.12687,,8501055:1
St-Cergue Les Cheseaux,46.44688,6.14728,,8519077:1
Massongex,46.241207,6.985661,,8501420:1
Monthey,46.255656,6.955227,,8501421
Collombey,46.271193,6.948756,,8501422:1
Vionnaz,46.315033,6.916203,,8501423:1
Vouvry,46.336493,6.89845,,8501424:1
Les Evouettes,46.362867,6.87947,,8501425:1
Bouveret,46.385817,6.853244,,8501426:1
St-Gingolph (Suisse),46.392194,6.805932,,8501428:1
Evionnaz,46.169254,7.025518,,8501404:2
Vernayaz,46.138546,7.038359,,8501405:2
Charrat-Fully,46.126813,7.126477,,8501501:2
Saxon,46.149383,7.173436,,8501502:2
Les Avants (funi),46.454295,6.943547,,8501350
Sonloup,46.457162,6.938913,,8501351
Territet (funi),46.426831,6.923439,,8530673
Collonge (funi),46.42828,6.923516,,8592618
Glion (funi),46.43187,6.923768,,8530031
Montreux-Les Planches,46.4331,6.91756,,8501360
Toveyre,46.4279,6.92847,,8501361
Valmont,46.42855,6.9293,,8501362
Glion,46.431805,6.924186,,8501370
Glion-Alpes,46.433804,6.925753,,8501230
Glion-Collège,46.43478,6.928737,,8501308
Le Tremblex,46.43604,6.93275,,8501363
Caux,46.43114,6.93852,,8501371
Haut-de-Caux,46.43437,6.94795,,8501357
Les Echets,46.43218,6.94489,,8501364
"Lausanne, Maladière",46.51743,6.605411,,8592068:A
"Lausanne, Montoie",46.518295,6.608571,,8592080:
"Lausanne, Batelière",46.516375,6.612966,,8591983:
"Lausanne, Riant-Cour",46.515579,6.616027,,8592110:
"Lausanne, Cèdres",46.51481,6.619153,,8592005:
"Lausanne, jardin botanique",46.51258,6.623057,,8591985:
"Lausanne, Cour",46.512563,6.625807,,8592024:
"Lausanne, Dapples",46.514756,6.625422,,8592027:
"Lausanne, Epinettes",46.515927,6.625626,,8592040:
"Lausanne, gare",46.517602,6.629654,,8592050:A
"Lausanne, Mirabeau",46.516919,6.634798,,8592072:
"Lausanne, Georgette",46.517824,6.638121,,8592051:A
"Lausanne, St-François",46.519365,6.633485,,8579254:A
"Lausanne, Bel-Air",46.522285,6.629075,,8591988:B
"Lausanne, Riponne-M. Béjart",46.523073,6.632028,,8590442:D
"Lausanne, Valentin",46.524549,6.631283,,8592125:
"Lausanne, Druey-Collège",46.528394,6.630496,,8592034:
"Lausanne, Oiseaux",46.531041,6.629531,,8592085:
"Lausanne, casernes",46.531689,6.628244,,8592003:
"Lausanne, Stade Olympique",46.533832,6.626061,,8592116:
