nom;nb_places;type;type_txt;duree_max;url;geometry
;4;11;Autocars;;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537440.4049890563 1154219.5737744262)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538957.8106346307 1152073.9937841394)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538085.9401912084 1151894.5497996758)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537718.0806934573 1152846.2305466817)
;1;12;Poids-lourd;24h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2535528.399021132 1152494.764587274)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538449.6698947195 1152993.4922020826)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537777.1853359286 1153778.1508199119)
;1;11;Autocars;15 min;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537559.315939915 1151060.6601330999)
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538307.8519010004 1153570.8852959052)
;4;12;Poids-lourd;24h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537375.9946861924 1154090.360221709)
;5;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2536897.724862689 1151460.9228498815)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538418.0494581712 1152897.0238675165)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537963.914635258 1153725.9098979018)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2539929.8888323377 1154793.6788642125)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2539461.4702403224 1155117.0797859514)
;3;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538672.163386735 1154409.0753344966)
;1;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537966.744736604 1150956.6504556672)
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538663.946059817 1154315.8508577216)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538723.140828352 1152021.2600846349)
;5;12;Poids-lourd;48h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2539101.663007986 1154842.2801510633)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537737.49499683 1151784.7798570076)
;2;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538337.7737743706 1150926.246840784)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537592.282583407 1154096.4305206076)
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538165.3207754986 1150989.9524561232)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537071.496919396 1153137.539909321)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537897.545533981 1151879.609037492)
;2;11;Autocars;2h;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538367.6346533857 1150914.5990860558)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538632.8481919034 1152484.6876207592)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2534872.436252556 1152710.4480707855)
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2534880.241538357 1152720.7963962078)
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2534889.9929268286 1152723.7515419554)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538421.1499284757 1152136.7525690792)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537959.3568313336 1152362.869877438)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537893.4774647052 1152373.7874675302)
