rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
3187,MNA Relief Ombre Terrain 2005 (pixel 25 et 50 mètres),https://opendata.swiss/en/dataset/mna-relief-ombre-terrain-2005-pixel-25-et-50-metres,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNT ""relief ombré"" 2005 est une représentation permettant une perception visuelle immédiate de la topographie du terrain. Il est généré à partir du MNT et simule un éclairage hypothétique de la scè"
3188,Mna Relief Ombre Surface 2023 (Pixel 0.2 M),https://opendata.swiss/en/dataset/mna-relief-ombre-surface-2023-pixel-0-2-m,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le produit ""relief ombré"" est une représentation permettant une perception visuelle immédiate de la topographie du terrain. Il est généré à partir du modèle numérique de surface (MNS) et simule un écl"
3189,Mna Relief Ombre Terrain 2023 (Pixel 0.2 M),https://opendata.swiss/en/dataset/mna-relief-ombre-terrain-2023-pixel-0-2-m,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le produit ""relief ombré"" est une représentation permettant une perception visuelle immédiate de la topographie du terrain. Il est généré à partir du modèle numérique de terrain (MNT) et simule un écl"
3190,,https://opendata.swiss/en/dataset/klimaanalyse-physiologisch-aquivalente-temperatur-tag-zukunft-20601,Kanton Solothurn,22.81,0.0,0.0,31.25,100.0,,noise_environment,GEOTIFF,False,
3191,,https://opendata.swiss/en/dataset/klimaanalyse-physiologisch-aquivalente-temperatur-tag-ist-20202,Kanton Solothurn,22.81,0.0,0.0,31.25,100.0,,noise_environment,GEOTIFF,False,
3192,,https://opendata.swiss/en/dataset/klima-planhinweiskarte-tag,Canton de Thurgovie,22.81,0.0,0.0,31.25,100.0,,noise_environment,"WFS, WMS",False,
3193,,https://opendata.swiss/en/dataset/klimaanalysekarte-tag-pet,Canton de Thurgovie,22.81,0.0,0.0,31.25,100.0,,noise_environment,WMS,False,
3194,MNA Relief Ombre Lac 2005 (pixel 5.0 m),https://opendata.swiss/en/dataset/mna-relief-ombre-lac-2005-pixel-5-0-m,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,tourism_heritage,API,False,MNA relief ombré lac Date d'acquisition : 2005
3195,,https://opendata.swiss/en/dataset/okomorphologie-stehende-gewasser,Canton de Thurgovie,22.81,0.0,0.0,31.25,100.0,,tourism_heritage,"SERVICE, WFS, WMS",False,
3196,,https://opendata.swiss/en/dataset/bau-und-strassenlinien-basel-stadt,Canton de Bâle-Ville,22.81,0.0,0.0,31.25,100.0,,urban_planning,"SERVICE, WFS, WMS",False,
