station_id,name,lat_wgs84,lon_wgs84,provider_id,address,capacity,vehicle_types,is_virtual
donkey_ge:28544,Troinex-Ville,46.15916,6.14457,donkey_ge,,3,,False
donkey_ge:26785,Av. De Champel,46.193428,6.1536493,donkey_ge,,5,,False
donkey_ge:27245,Rue des Entreprises ,46.225224,6.0769005,donkey_ge,", ",3,,False
donkey_ge:20624,Dufour 14,46.201206,6.1417384,donkey_ge,,3,,False
donkey_ge:22303,Léon-Gaud,46.195168,6.156049,donkey_ge,", ",1,,False
donkey_ge:18531,SGIPA Bois-des-Frères,46.208908,6.099894,donkey_ge,,4,,False
donkey_ge:22137,Chemin des Pâquerettes 7,46.188774,6.1185303,donkey_ge,,5,,False
donkey_ge:22302,Rue de Contamines ,46.195564,6.1555543,donkey_ge,,2,,False
donkey_ge:27935,Parc Lullin/Rte du Creux-de-Genthod,46.260254,6.157987,donkey_ge,,3,,False
donkey_ge:22247,Cressy,46.182484,6.0885067,donkey_ge,", ",5,,False
donkey_ge:20509,Galaise 17,46.165035,6.102103,donkey_ge,,5,,False
donkey_ge:18551,Pont de la Machine,46.206406,6.1447415,donkey_ge,,8,,False
donkey_ge:22261,Pré-Monnard,46.185223,6.1166725,donkey_ge,,5,,False
donkey_ge:22339,Quai de Cologny 6,46.220966,6.1799173,donkey_ge,,5,,False
donkey_ge:33088,Moraines ,46.18284,6.142927,donkey_ge,,3,,False
donkey_ge:22185,Rue des Buis 2,46.21349,6.1488295,donkey_ge,", ",5,,False
donkey_ge:29052,Hôpital de Löex,46.198868,6.085879,donkey_ge,,4,,False
donkey_ge:29053,Jardins de Mamajah,46.19844,6.0822225,donkey_ge,,3,,False
donkey_ge:27929,Centre sportif Versoix,46.295593,6.1553845,donkey_ge,", ",5,,False
donkey_ge:29055,Les Erables,46.203835,6.2044783,donkey_ge,", ",3,,False
donkey_ge:20674,Pervenches,46.1869,6.136638,donkey_ge,,6,,False
donkey_ge:27585,Sgipa Conches,46.18854,6.1716237,donkey_ge,", ",5,,False
donkey_ge:22108,Rue de la Gabelle 32,46.18797,6.1355963,donkey_ge,,3,,False
donkey_ge:27310,Maison des Compagnies ,46.224556,6.0833344,donkey_ge,,3,,False
donkey_ge:22153,Av. du Gros-Chêne,46.19057,6.102972,donkey_ge,,3,,False
donkey_ge:21931,Rue Sillem,46.205395,6.1625304,donkey_ge,,4,,False
donkey_ge:22033,Caroubiers 21,46.18575,6.133941,donkey_ge,,4,,False
donkey_ge:33090,Chemin Thury,46.19284,6.1518207,donkey_ge,,3,,False
donkey_ge:22287,Lazy Cat,46.202717,6.1612906,donkey_ge,,1,,False
donkey_ge:27313,Gare Vernier Nord,46.22094,6.09409,donkey_ge,,5,,False
donkey_ge:22250,Bois-de-la-Chapelle 69,46.18874,6.1015463,donkey_ge,,3,,False
donkey_ge:22558,Place de l'Etang,46.217308,6.1036043,donkey_ge,,4,,False
donkey_ge:21909,Cours des Bastions 10,46.197758,6.1482806,donkey_ge,,5,,False
donkey_ge:18423,Oliquettes - Gué 79,46.18881,6.116233,donkey_ge,,5,,False
donkey_ge:26368,Tourbillon (Pôle de Mobilité),46.16644,6.1037073,donkey_ge,,5,,False
donkey_ge:23243,Place Duchêne ,46.18181,6.1011486,donkey_ge,,2,,False
