ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
142,EP Grand-Salève / Troinex,Primaire,Troinex,GE,Canton de Genève,"Route de Bossey 21, 1256 Troinex",46.162000,6.158000,2501081.32,1113089.45,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
143,EP Grottes / Beaulieu / Cropettes,Primaire,Genève,GE,Canton de Genève,"Rue des Grottes 25, 1201 Genève",46.212000,6.139000,2499706.05,1118671.13,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
144,EP Lachenal / Céligny / Collex-Bossy,Primaire,Versoix,GE,Canton de Genève,"Chemin de Lachenal 10, 1290 Versoix",46.278000,6.162000,2501600.34,1125977.87,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
145,EP Le-Corbusier / Contamines,Primaire,Genève,GE,Canton de Genève,"Rue Le-Corbusier 8, 1208 Genève",46.199000,6.162000,2501457.27,1117196.99,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
146,EP Le-Sapay,Primaire,Versoix,GE,Canton de Genève,"Chemin du Sapay 1, 1290 Versoix",46.283000,6.157000,2501224.08,1126539.91,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
147,EP Libellules / Emilie-de-Morsier,Primaire,Genève,GE,Canton de Genève,"Avenue de la Jonction 23, 1205 Genève",46.196000,6.130000,2498981.88,1116904.29,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
148,EP Lignon / Aïre,Primaire,Vernier,GE,Canton de Genève,"Avenue du Lignon 14, 1219 Vernier",46.206000,6.096000,2496376.62,1118060.18,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
149,EP Mail / Carl-Vogt,Primaire,Genève,GE,Canton de Genève,"Boulevard du Pont-d'Arve 40, 1205 Genève",46.196000,6.141000,2499830.92,1116890.17,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
150,EP Mandement,Primaire,Satigny,GE,Canton de Genève,"Route de Peney 7, 1242 Satigny",46.214000,6.037000,2491839.47,1119029.11,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
151,EP Meyrin-Monthoux / Meyrin-Village,Primaire,Meyrin,GE,Canton de Genève,"Chemin de la Mategnin 4, 1217 Meyrin",46.235000,6.082000,2495352.04,1121302.11,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
152,EP Onex-Parc / Belle-Cour,Primaire,Onex,GE,Canton de Genève,"Rue des Bossons 42, 1213 Onex",46.183000,6.100000,2496641.63,1115498.47,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
