ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
81,Etablissement secondaire de Pully,Secondaire,Pully,VD,Lavaux-Riviera,"Chemin du Fau-blanc 15, 1009 Pully",46.513000,6.660000,2540242.64,1151596.84,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
82,Etablissement primaire de Vevey,Primaire,Vevey,VD,Lavaux-Riviera,"Rue du Torrent 27, 1800 Vevey",46.461300,6.838900,2553928.12,1145728.92,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
83,Etablissement primaire et secondaire de Vevey,Primaire et Secondaire,Vevey,VD,Lavaux-Riviera,"Rue du Collège 30, 1800 Vevey",46.459300,6.847600,2554594.76,1145501.51,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
84,Etablissement primaire et secondaire d'Apples - Bière et environs,Primaire et Secondaire,Apples,VD,Venoge-Lac,"Chemin des Collèges 5, 1143 Apples",46.543000,6.428000,2522481.51,1155134.88,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
85,Etablissement secondaire de Cossonay et Penthalaz - Pré aux Moines,Secondaire,Cossonay-Ville,VD,Venoge-Lac,"Pré aux Moines 5, 1304 Cossonay-Ville",46.615000,6.506000,2528559.29,1163064.04,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
86,Etablissement primaire de Cossonay Veyron-Venoge,Primaire,Cossonay-Ville,VD,Venoge-Lac,"Route d'Aubonne 7, 1304 Cossonay-Ville",46.613000,6.504000,2528403.44,1162843.55,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
87,Etablissement primaire et secondaire de La Sarraz et environs,Primaire et Secondaire,La Sarraz,VD,Venoge-Lac,"Rue des Guébettes 2, 1315 La Sarraz",46.658000,6.513000,2529151.95,1167837.49,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
88,Etablissement secondaire de Morges - Beausobre,Secondaire,Morges,VD,Venoge-Lac,"Chemin de la Grosse-Pierre 1, 1110 Morges",46.517000,6.500800,2528030.56,1152175.34,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
89,Etablissement primaire de Morges-Est,Primaire,Morges,VD,Venoge-Lac,"Avenue de Chanel 51, 1110 Morges",46.517700,6.497400,2527770.60,1152256.28,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
90,Etablissement primaire de Morges-Ouest,Primaire,Morges,VD,Venoge-Lac,"Chemin de Tolochenaz 9, 1110 Morges",46.510400,6.482900,2526648.04,1151458.31,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
91,Etablissement primaire de Penthalaz - Venoge,Primaire,Penthalaz,VD,Venoge-Lac,"Chemin du Collège 1, 1305 Penthalaz",46.591000,6.530000,2530366.68,1160374.63,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
92,Etablissement primaire et secondaire de Préverenges et environs,Primaire et Secondaire,Préverenges,VD,Venoge-Lac,"Rue des Voiles du Léman 4, 1028 Préverenges",46.515800,6.526700,2530016.47,1152018.48,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
93,Etablissement primaire et secondaire de Saint-Prex et environs,Primaire et Secondaire,St-Prex,VD,Venoge-Lac,"Chemin du Cherrat 7, 1162 St-Prex",46.486500,6.454800,2524458.15,1148828.36,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
94,CO de l'Aubépine,Secondaire (CO),Genève,GE,Canton de Genève,"Rue de l'Aubépine 21, 1205 Genève",46.188200,6.147100,2500287.47,1116015.41,DIP Genève - edu.ge.ch/secondaire1,Oui - Google Places
