E_LV95,N_LV95,espece,art_nest,nat_nest,p_nat_nest,localisati,detail_loc,remarques,categorie_type,categorie_label
2538571,1151508,Martinet noir,2,1,0,,,,nichoir_mixte,Nichoir artificiel + nid naturel
2537742,1151992,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537706,1151502,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537082,1153251,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537951,1151810,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537591,1151999,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537689,1151800,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537676,1151747,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537684,1151782,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537679,1151765,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537657,1151677,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537710,1151630,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537707,1151588,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537982,1151494,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537705,1153224,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537201,1153520,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536808,1153402,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536930,1153337,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536918,1153315,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536930,1153306,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537218,1153230,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537141,1153257,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537154,1153247,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537011,1153605,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536901,1153903,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536907,1153814,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536791,1153702,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536990,1153345,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536998,1153333,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537086,1153302,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537017,1153580,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536963,1153401,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536975,1153378,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536942,1153445,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537752,1152097,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538142,1152139,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536956,1152974,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538335,1154246,Martinet noir,10,0,0,,,,nichoir_artificiel,Nichoir artificiel
2538524,1152924,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538546,1152960,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2540413,1154609,Martinet noir,24,0,0,,,,nichoir_artificiel,Nichoir artificiel
2540064,1153278,Martinet noir,5,0,0,,,,nichoir_artificiel,Nichoir artificiel
2536784,1152976,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537515,1151570,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536786,1152987,Martinet noir,8,0,0,,,,nichoir_artificiel,Nichoir artificiel
2540199,1152585,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538239,1154042,Martinet noir,0,4,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538241,1153988,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
