name,google_place_id,municipality,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hours_available,open_before_8am,open_after_7pm,open_saturday,open_sunday,earliest_open,latest_close,is_24h,weekday_hours_count
T19 Bi Coworking,ChIJT-lT_9QxjEcRj_lNjpJrUrA,Lausanne,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Bibliothèques de Lausanne Chauderon,ChIJ636Jsy4ujEcRK8usuSXm37w,Lausanne,12:00-7:00 PM,12:00-7:00 PM,12:00-7:00 PM,12:00-7:00 PM,12:00-7:00 PM,11:00 AM-5:00 PM,Closed,True,False,False,True,False,11.0,19.0,False,5
Gotham Lausanne Flon,ChIJddLJOIUvjEcRFgm5skN3PZ4,Lausanne,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,Closed,Closed,True,False,False,False,False,8.0,18.0,False,5
Ça Passe Crème,ChIJwwgZAj8vjEcRpBWp4kUVYBg,Lausanne,Closed,8:00 AM-2:30 PM,8:00 AM-2:30 PM,8:00 AM-2:30 PM,8:00 AM-2:30 PM,10:00 AM-5:00 PM,10:00 AM-4:00 PM,True,False,False,True,True,8.0,17.0,False,4
Impact Hub Lausanne,ChIJezs83SgujEcRC45AdS3zOuY,Lausanne,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,Closed,Closed,True,False,False,False,False,9.0,18.0,False,5
Regus Lausanne Main Station,ChIJsayjABsvjEcRBAvyPmvMP8Q,Lausanne,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Do It Better Coworking,ChIJuYtj2zEujEcR_RF5RvTXAlU,Lausanne,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Powerhouse,ChIJFc489oIvjEcRjhoGZ-Vs07w,Lausanne,9:00 AM-5:00 PM,9:00 AM-5:00 PM,9:00 AM-5:00 PM,9:00 AM-5:00 PM,9:00 AM-5:00 PM,Closed,Closed,True,False,False,False,False,9.0,17.0,False,5
Bel-Air Coffee,ChIJ9bwfJxgvjEcRIuMse2sNH1s,Lausanne,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,9:00 AM-5:00 PM,9:00 AM-5:00 PM,True,False,False,True,True,8.0,17.0,False,5
Regus Lausanne City Flon,ChIJVZRplC0ujEcR4Q4bgkJ47U4,Lausanne,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
Bold Coffee,ChIJ1UDumHYvjEcRDmoo7h698gA,Lausanne,"8:30 AM-12:00 PM, 1:00-4:00 PM","8:30 AM-12:00 PM, 1:00-4:00 PM","8:30 AM-12:00 PM, 1:00-4:00 PM","8:30 AM-12:00 PM, 1:00-4:00 PM","8:30 AM-12:00 PM, 1:00-4:00 PM",10:00 AM-4:00 PM,10:00 AM-4:00 PM,True,False,False,True,True,8.5,16.0,False,5
Ordinary Man Coffee,ChIJvRD1ClIvjEcR3bBROcHlxnA,Lausanne,7:30 AM-5:00 PM,7:30 AM-5:00 PM,7:30 AM-5:00 PM,7:30 AM-5:00 PM,7:30 AM-5:00 PM,9:00 AM-5:00 PM,9:00 AM-4:00 PM,True,True,False,True,True,7.5,17.0,False,5
Coffee Shop Sleepy Bear,ChIJFaJJA80vjEcRtg9rWGE_mXg,Lausanne,7:00 AM-4:00 PM,7:00 AM-4:00 PM,7:00 AM-4:00 PM,7:00 AM-4:00 PM,7:00 AM-4:00 PM,9:00 AM-4:30 PM,9:00 AM-4:30 PM,True,True,False,True,True,7.0,16.5,False,5
Gotham Lausanne Gare,ChIJl1qTxcwvjEcRPRGD7etwhGQ,Lausanne,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,Closed,Closed,True,False,False,False,False,8.0,18.0,False,5
Coworking de la Madeleine,ChIJnW3ONdMvjEcRXqweqW0o5x8,Lausanne,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
