station_name,lat_wgs84,lon_wgs84,daily_avg,workday_avg,nonworkday_avg,commuter_index,source,year,uic,curve_profile,pct_h00,pct_h01,pct_h02,pct_h03,pct_h04,pct_h05,pct_h06,pct_h07,pct_h08,pct_h09,pct_h10,pct_h11,pct_h12,pct_h13,pct_h14,pct_h15,pct_h16,pct_h17,pct_h18,pct_h19,pct_h20,pct_h21,pct_h22,pct_h23,peak_morning_pct,peak_evening_pct,off_peak_pct
"Prangins, Les Abériaux",46.393015,6.254119,2000,2200.0,1500.0,1.47,sbb_passagierfrequenz_2022,2022,8504483.0,moderate_commuter_small,0.004319,0.004375,0.004262,0.004222,0.004984,0.011141,0.03952,0.093239,0.123058,0.085079,0.039831,0.026071,0.029021,0.033387,0.042431,0.068901,0.103298,0.11788,0.08777,0.045207,0.016147,0.006709,0.00471,0.004436,0.340896,0.354154,0.30495
Genève-Aéroport,46.232547,6.111969,16300,15800.0,17500.0,0.9,sbb_passagierfrequenz_2024,2024,8501026.0,balanced_moderate,0.004587,0.004622,0.004668,0.004505,0.004772,0.007575,0.024461,0.066627,0.103322,0.088936,0.055152,0.047324,0.053385,0.056328,0.063366,0.083662,0.103489,0.100035,0.066578,0.030099,0.011537,0.005627,0.004619,0.004726,0.283345,0.300201,0.416454
Rolle,46.462757,6.336387,4600,5400.0,2700.0,2.0,sbb_passagierfrequenz_2024,2024,8501033.0,high_commuter_bedroom,0.00506,0.005113,0.005161,0.004994,0.005115,0.005536,0.034343,0.19166,0.128482,0.018606,0.017828,0.026627,0.032873,0.033216,0.026095,0.019707,0.045145,0.169189,0.163509,0.039964,0.006462,0.005175,0.004976,0.005163,0.37309,0.417808,0.209102
Grandvaux,46.496948,6.722641,760,840.0,600.0,1.4,sbb_passagierfrequenz_2024,2024,8504011.0,moderate_commuter_small,0.00418,0.004206,0.004174,0.00426,0.004912,0.010846,0.037474,0.091788,0.119826,0.08621,0.040603,0.027173,0.02981,0.033295,0.043497,0.069996,0.10578,0.118421,0.088384,0.043594,0.016369,0.006525,0.004448,0.004229,0.335298,0.35618,0.308522
St-Prex,46.482324,6.455897,1600,1900.0,990.0,1.92,sbb_passagierfrequenz_2024,2024,8501036.0,moderate_commuter_small,0.004555,0.004781,0.004758,0.004755,0.004819,0.006179,0.037036,0.155286,0.147849,0.036752,0.01788,0.025051,0.030737,0.030998,0.026181,0.02782,0.080126,0.161088,0.12749,0.042918,0.008816,0.004923,0.004592,0.004609,0.376923,0.411622,0.211455
Lonay-Préverenges,46.523141,6.519527,290,340.0,190.0,1.79,sbb_passagierfrequenz_2024,2024,8501048.0,moderate_commuter_small,0.00444,0.004602,0.004428,0.004528,0.004623,0.005971,0.036716,0.154056,0.147182,0.038023,0.018548,0.025315,0.030698,0.03147,0.026019,0.028298,0.079715,0.16323,0.127645,0.042243,0.008622,0.004731,0.00446,0.004435,0.375978,0.412834,0.211188
Lausanne-Flon,46.520798,6.63033,35000,,,1.5,estimated_metro_hub,2024,,moderate_commuter_major,0.005384,0.00537,0.005443,0.005416,0.005428,0.006665,0.034372,0.149723,0.144285,0.040239,0.019679,0.026296,0.032771,0.031986,0.026705,0.029157,0.077212,0.160006,0.126201,0.041797,0.009307,0.005591,0.00541,0.005556,0.368619,0.405216,0.226165
La Conversion,46.513087,6.678307,1100,1200.0,710.0,1.69,sbb_passagierfrequenz_2024,2024,8504010.0,moderate_commuter_small,0.004751,0.004787,0.004702,0.004858,0.004919,0.006299,0.03521,0.146168,0.151656,0.040353,0.018365,0.026762,0.031929,0.031897,0.025997,0.029416,0.079588,0.15637,0.129635,0.042827,0.008735,0.004973,0.0049,0.004899,0.373388,0.408421,0.218191
La Tour-de-Peilz,46.455457,6.859523,2900,3200.0,2100.0,1.52,sbb_passagierfrequenz_2024,2024,8501201.0,moderate_commuter_small,0.005103,0.004857,0.004844,0.005105,0.004926,0.00618,0.033565,0.145252,0.145576,0.041397,0.019075,0.025862,0.032645,0.033294,0.027479,0.028751,0.077851,0.160682,0.130881,0.042642,0.008819,0.005094,0.005041,0.005078,0.36579,0.412055,0.222155
Burier,46.447889,6.877108,1700,2200.0,630.0,3.49,sbb_passagierfrequenz_2024,2024,8501202.0,high_commuter_bedroom,0.004574,0.004493,0.004499,0.004447,0.004625,0.004919,0.027237,0.190112,0.145152,0.020089,0.016361,0.024842,0.029437,0.030545,0.024706,0.017419,0.033903,0.150106,0.187398,0.054098,0.007159,0.004706,0.004628,0.004543,0.382589,0.425506,0.191905
Clarens,46.442736,6.895771,2400,2700.0,1700.0,1.59,sbb_passagierfrequenz_2024,2024,8501203.0,moderate_commuter_small,0.005089,0.004923,0.00485,0.00488,0.004964,0.006364,0.035646,0.151993,0.143586,0.040786,0.018575,0.025895,0.031477,0.032442,0.026419,0.029421,0.078789,0.160822,0.127479,0.041691,0.008844,0.005228,0.004958,0.004881,0.37201,0.40878,0.21921
"Founex, est",46.334766,6.19494,1149,,,1.0,estimated_from_frequency_model,2024,,balanced_small,0.004765,0.00479,0.004599,0.004763,0.005147,0.00873,0.02847,0.077319,0.118019,0.095306,0.049882,0.030858,0.032396,0.037632,0.050609,0.080633,0.112009,0.112441,0.076678,0.035944,0.013237,0.006307,0.004752,0.004713,0.319114,0.337073,0.343813
Rivaz,46.474211,6.784583,280,230.0,390.0,0.59,sbb_passagierfrequenz_2024,2024,8501126.0,tourism_dominated,0.004582,0.004454,0.004622,0.004747,0.005248,0.008313,0.016118,0.034635,0.059628,0.078111,0.085636,0.080775,0.077052,0.081572,0.093,0.100118,0.095316,0.071011,0.044998,0.022379,0.01165,0.006359,0.005135,0.004541,0.188491,0.233704,0.577805
